"gid","iso_a2","code","level_1"
501066,"US","01066","Massachusetts"
501068,"US","01068","Massachusetts"
501069,"US","01069","Massachusetts"
501070,"US","01070","Massachusetts"
501071,"US","01071","Massachusetts"
501072,"US","01072","Massachusetts"
501073,"US","01073","Massachusetts"
501074,"US","01074","Massachusetts"
501075,"US","01075","Massachusetts"
501077,"US","01077","Massachusetts"
501079,"US","01079","Massachusetts"
501080,"US","01080","Massachusetts"
501081,"US","01081","Massachusetts"
501082,"US","01082","Massachusetts"
501083,"US","01083","Massachusetts"
501084,"US","01084","Massachusetts"
501085,"US","01085","Massachusetts"
501086,"US","01086","Massachusetts"
501088,"US","01088","Massachusetts"
501089,"US","01089","Massachusetts"
501092,"US","01092","Massachusetts"
501093,"US","01093","Massachusetts"
501094,"US","01094","Massachusetts"
501095,"US","01095","Massachusetts"
501096,"US","01096","Massachusetts"
501097,"US","01097","Massachusetts"
501098,"US","01098","Massachusetts"
501103,"US","01103","Massachusetts"
501104,"US","01104","Massachusetts"
501105,"US","01105","Massachusetts"
501106,"US","01106","Massachusetts"
501107,"US","01107","Massachusetts"
501108,"US","01108","Massachusetts"
501109,"US","01109","Massachusetts"
501118,"US","01118","Massachusetts"
501119,"US","01119","Massachusetts"
501128,"US","01128","Massachusetts"
501129,"US","01129","Massachusetts"
501151,"US","01151","Massachusetts"
501199,"US","01199","Massachusetts"
501201,"US","01201","Massachusetts"
501220,"US","01220","Massachusetts"
501222,"US","01222","Massachusetts"
501223,"US","01223","Massachusetts"
501224,"US","01224","Massachusetts"
501225,"US","01225","Massachusetts"
501226,"US","01226","Massachusetts"
501229,"US","01229","Massachusetts"
501230,"US","01230","Massachusetts"
501235,"US","01235","Massachusetts"
501236,"US","01236","Massachusetts"
501237,"US","01237","Massachusetts"
501238,"US","01238","Massachusetts"
501240,"US","01240","Massachusetts"
501242,"US","01242","Massachusetts"
501243,"US","01243","Massachusetts"
501244,"US","01244","Massachusetts"
501245,"US","01245","Massachusetts"
501247,"US","01247","Massachusetts"
501253,"US","01253","Massachusetts"
501254,"US","01254","Massachusetts"
501255,"US","01255","Massachusetts"
501256,"US","01256","Massachusetts"
501257,"US","01257","Massachusetts"
501258,"US","01258","Massachusetts"
501259,"US","01259","Massachusetts"
501260,"US","01260","Massachusetts"
501262,"US","01262","Massachusetts"
501264,"US","01264","Massachusetts"
501266,"US","01266","Massachusetts"
501267,"US","01267","Massachusetts"
501270,"US","01270","Massachusetts"
501301,"US","01301","Massachusetts"
501330,"US","01330","Massachusetts"
501331,"US","01331","Massachusetts"
501337,"US","01337","Massachusetts"
501338,"US","01338","Massachusetts"
501339,"US","01339","Massachusetts"
501340,"US","01340","Massachusetts"
501341,"US","01341","Massachusetts"
501342,"US","01342","Massachusetts"
501343,"US","01343","Massachusetts"
501344,"US","01344","Massachusetts"
501346,"US","01346","Massachusetts"
501347,"US","01347","Massachusetts"
501349,"US","01349","Massachusetts"
