"gid","iso_a2","code","name","level_0","level_1","level_2","level_3","bbox"
100000510301,"FR","51030","Ay","FR","Grand Est","Marne","Aÿ-Champagne","3.973729 49.037898 4.018771 49.086399"
100000053014,"FR","53014","Azé","FR","Pays de la Loire","Mayenne","Château-Gontier-sur-Mayenne","-0.704173 47.789013 -0.618932 47.864777"
100000060038,"FR","60038","Bachivillers","FR","Hauts-de-France","Oise","Montchevreuil","1.946532 49.268053 1.98786 49.304788"
100000046014,"FR","46014","Bagat-en-Quercy","FR","Occitanie","Lot","Barguelonne-en-Quercy","1.18236 44.359111 1.275555 44.401162"
100000010251,"FR","01025","Bâgé-la-Ville","FR","Auvergne-Rhône-Alpes","Ain","Bâgé-Dommartin","4.905471 46.285436 5.011869 46.369904"
100000049016,"FR","49016","Bagneux","FR","Pays de la Loire","Maine-et-Loire","Saumur","-0.112031 47.228225 -0.083702 47.253199"
100000079026,"FR","79026","Bagneux","FR","Nouvelle-Aquitaine","Deux-Sèvres","Loretz-d'Argenton","-0.25234 47.053212 -0.209453 47.094588"
100000614831,"FR","61483","Bagnoles-de-l'Orne","FR","Normandie","Orne","Bagnoles de l'Orne Normandie","-0.446067 48.537704 -0.388803 48.572326"
100000048014,"FR","48014","Bagnols-les-Bains","FR","Occitanie","Lozère","Mont Lozère et Goulet","3.653836 44.499769 3.674848 44.524527"
100000041011,"FR","41011","Baigneaux","FR","Centre-Val de Loire","Loir-et-Cher","Oucques La Nouvelle","1.234553 47.756332 1.277809 47.790098"
100000028020,"FR","28020","Baignolet","FR","Centre-Val de Loire","Eure-et-Loir","Éole-en-Beauce","1.597436 48.161401 1.656967 48.195496"
100000035011,"FR","35011","Baillé","FR","Bretagne","Ille-et-Vilaine","Saint-Marc-le-Blanc","-1.403698 48.346112 -1.358298 48.391071"
100000880291,"FR","88029","Bains-les-Bains","FR","Grand Est","Vosges","La Vôge-les-Bains","6.216769 47.961692 6.301492 48.030842"
100000008042,"FR","08042","Balaives-et-Butz","FR","Grand Est","Ardennes","Flize","4.687785 49.652987 4.754655 49.693885"
100000038025,"FR","38025","Balbins","FR","Auvergne-Rhône-Alpes","Isère","Ornacieux-Balbins","5.193373 45.375005 5.238542 45.406168"
